Weight,Humidity,Temperature,Initial_Hardness,Stride_Frequency,Sliding_Speed,Stair_Age,Usage_Mode,Usage_Frequency,User_Count,Measured_Wear
68.23,56.14,22.68,180.52,120.34,1.25,25,1,5.23,23,3.78
52.71,75.03,18.46,130.61,98.12,1.84,5,0,2.56,10,4.37
72.56,62.78,30.02,145.23,140.72,1.38,15,2,8.97,45,7.65
61.44,65.82,27.11,175.9,115.56,0.92,10,1,6.78,32,2.29
2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,7.29
45.98,50.91,16.42,115.67,105.21,1.15,3,0,3.12,7,2.21
63.25,68.12,19.03,150.39,130.15,1.77,12,1,4.65,25,6.51
78.49,59.47,28.34,160.82,110.29,1.32,18,2,7.43,38,3.43
57.38,66.88,23.92,140.95,125.51,1.03,22,1,5.89,29,1.03
50.12,70.23,17.85,135.14,105.77,1.62,8,0,3.98,15,2.72
